id,Price
0,7098302.073571427
1,13686052.316808904
2,10554423.823755097
3,11608772.114582563
4,4653267.3773534335
5,5728881.46217347
6,8104739.416826531
7,5660350.1905918345
8,7280815.418632649
9,12166627.809361791
10,5813878.775967531
11,8820813.055520412
12,13844203.478302408
13,4687069.24782282
14,2857282.9872653047
15,9929611.028433204
16,8606902.404370131
17,11066725.551552873
18,13125258.554969387
19,3121377.9655102016
20,12421072.264328385
21,12966617.964181812
22,10518446.254781075
23,13194404.851003703
24,5135006.977635436
25,6949845.29622078
26,11601751.446011133
27,7766035.693337664
28,8833237.255408166
29,15208967.806077918
30,8904167.044162339
31,5978587.442153061
32,9071560.273321895
33,12696331.83076067
34,7882947.782067719
35,11500203.397163255
36,6028260.022040817
37,8355890.216311684
38,5723037.1682449
39,19139754.134151205
40,10806622.077461965
41,14645908.652938768
42,4721574.544408166
43,12021448.307671608
44,12867628.815158622
45,10050367.183252316
46,7439067.844795915
47,11805207.825454548
48,8396134.934571428
49,8675074.825857144
50,12137878.688313548
51,8838079.491356215
52,6923000.64589425
53,4296564.447439703
54,10945052.535923004
55,12532536.928785708
56,11355950.304214276
57,13839377.884488862
58,6472588.782744899
59,12994628.97981446
60,12438322.108775506
61,8931643.872357145
62,6781840.146617811
63,2236666.82455102
64,14141908.809870128
65,9929611.028433204
66,8107198.285510203
67,13032776.214448968
68,14370897.13745732
69,18652698.934879407
70,18645295.706046384
71,2869127.6289795926
72,19522331.960965678
73,8215850.3693367345
74,9221180.903999994
75,6392105.781285715
76,18669424.62044713
77,4683583.689559369
78,4407176.613357139
79,4354241.089774583
80,10772289.780704072
81,16237533.674794061
82,9760765.878282923
83,13881955.845112259
84,5378918.263908163
85,9517227.632931367
86,16610157.94458162
87,13733111.207793135
88,14458844.284193873
89,9279012.679278297
90,16108783.828163268
91,11268110.38900278
92,4833604.846161411
93,6492268.082857144
94,14260276.025572348
95,10899156.90083951
96,12207924.994836735
97,5881746.890885898
98,5547193.429938778
99,20733203.65059371
100,5931282.073448055
101,7057494.510061228
102,14148000.40406494
103,20184842.317304265
104,2699789.266836734
105,17383112.222357143
106,7715902.164285714
107,8381570.31094898
108,10381754.749387756
109,12573864.202195732
110,8496755.438316325
111,3858087.7484897943
112,3233143.2913265307
113,3328752.83635529
114,12890105.363402609
115,6042903.336580705
116,8374595.612897959
117,9101146.19464842
118,6189516.667020405
119,10408790.554608533
120,3368142.530204081
121,16203259.812372914
122,6278954.503846938
123,6192050.627816326
124,2736489.9343218924
125,11009399.785561224
126,10954372.782025972
127,8686345.061811684
128,11284562.532358067
129,5704516.5826734705
130,3827372.2612152104
131,14715760.710326528
132,12018711.622755095
133,6206447.790262522
134,4300146.507307975
135,14095973.934641924
136,2751872.6004183674
137,13343292.876558438
138,20451569.402220774
139,13041118.798427647
140,16615283.458645638
141,12419716.720224487
142,2414476.3946196656
143,13415385.289933199
144,14370897.13745732
145,4646991.948989798
146,4493420.923269018
147,9863412.03754082
148,2699789.266836734
149,11929288.455210567
150,8416807.319359928
151,11746409.681982376
152,5789765.796153062
153,19199019.42691837
154,2700505.2889406304
155,11310574.406012977
156,5464167.659351577
157,11012299.685214294
158,16399848.466471234
159,5645131.462623376
160,19206030.09598145
161,11871867.476857137
162,17866585.56996567
163,10502262.00778015
164,11494702.044320034
165,15409330.933285717
166,13653872.921325594
167,18086117.663448982
168,13863204.337550089
169,8326474.584204075
170,12543494.927785708
171,15656015.994272735
172,3786161.7618608554
173,3089243.4443144705
174,5522985.907865494
175,10433155.812051019
176,10887327.782234684
177,3859673.6091437815
178,13841296.012359926
179,15459985.182004638
180,8757089.927591834
181,14084899.340101106
182,12872827.400510192
183,16778810.078522258
184,10293503.402387757
185,4192284.4624118735
186,4497214.884234692
